price_value,bathrooms,expenses_value,CARD_CONTACT_MODAL,description,phone,parking,CARD_VIEWPHONE,price_type,square_meters_area,url,rooms,location,POSTING_CARD_FEATURES,expenses_type,bedrooms,CARD_WHATSAPP,POSTING_CARD_GALLERY,CARD_FAV,address
173000,,,Contactar,"Te presentamos un edificio moderno de departamentos con terrazas con piscina y patios privados con parrilla, donde La Luz, y el aire libre son protagonistas. Disfruta de espacios amplios y luminosos, diseñados para tu bienestar y comodidad. Los departamentos cuentan con losa radiante por piso, conexión para equipos de aire acondicionado, mesadas de marmol e interiores de placard en habitaciones y cocina instalados. Puerta de seguridad macizas con cerraduras electrónicas con cámara y manejo wifi. Cocheras cubiertas disponibles.",,,,$,159,/propiedades/emprendimiento/ememvein-departamentos-en-villa-urquiza.-terrazas-privadas.-55469854.html,3,"Villa Urquiza, Capital Federal",3 un.2 a 3 amb.66 a 159 m² tot.,,,,4,,Av Combatientes de Malvinas 3852
92000,1,160000,Contactar,"Departamento de dos ambientes en primer piso en San Nicolás. Cuenta con living comedor amplio, con aire acondicionado frío/calor, cocina con ventana y espacio para lavarropas; la cocina es a gas, completa con muebles bajo mesada y alacenas. La habitación tiene un gran ventanal con vista a la parte interna del edificio. Baño completo con ducha, en buen estado. El edificio tiene once pisos, cuatro unidades por piso, encargado fijo. El departamento es apto profesional y no tiene cochera. Ubicado cerca de la zona de los Tribunales, el Teatro Colón, el Registro Civil; zona de bares, cafés, restaurantes, bancos, oficinas. Está cerca de las avenidas Córdoba y Corrientes, por donde circulan gran cantidad de líneas de colectivos y las líneas de subte B (estación Uruguay sobre Avenida Corrientes) y D (estación Tribunales - Teatro Colón), y de la Avenida 9 de Julio, por donde circula el Metrobús.",,,,USD,65,/propiedades/clasificado/veclapin-departamento-en-san-nicolas-54912050.html,2,"San Nicolás, Capital Federal",65 m² tot.2 amb.1 dorm.1 baño,$,1,,12,,Uruguay  al 700
95000,1,260000,Contactar,"Oportunidad! Amplio departamento de 2 ambientes en planta baja, con patio! Ubicado sobre la calle Eduador, entre Arenales y Beruti, en pleno barrio de la Recoleta. A dos cuadras de Av. Santa Fe. Todos los colectivos. Subte D, estación Pueyrredon. Zona Hospital Alemán. Facultad uba de Ingeniería. Edificio de Categoría. 6 pisos, Semipisos. El departamento esta en pb, a la calle. Living comedor muy amplio con pisos de parquet, ventanal hacia la calle, Hall de Distribución con gran placard de apoyo. Cocina separada, con salida al patio (hoy cubierto con un cerramiento de vidrio). Baño completo con bañera. Dormitorio con piso de parquet con placard, ventana al patio. La calefacción es por radiadores. Excelente oportunidad! Para visitarlo escribime por whatsapp al +54 9 11 Ver datos. Martillero y Corredor Público Luis Alderete. Matricula 7587 cucicba.",,,,USD,68,/propiedades/clasificado/veclapin-2-ambientes-pb-con-patio-en-recoleta-55552297.html,2,"Recoleta, Capital Federal",68 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,28,,Ecuador al 1500
129000,1,,Contactar,"Apto Credito. Características Principales: - Ubicación: Excelente, con cercanía al polo gastronómico de Monte Castro. El inmueble esta situado al frente del edificio, y cuenta con un balcón aterrazado al frente y otro balcón semicubierto al contrafrente, brindando una agradable vista y ventilación cruzada. En la cuadra se encuentra el reconocido edificio de Michelin con seguridad 24hs. Ambientes: - Ingreso al edificio con llave magnetica para mayor rapidez y seguridad. - Living: Amplio y luminoso, ideal para crear un espacio de relax y entretenimiento con un balcón al contrafrente semicubierto. - Cocina: Espaciosa y cómoda, equipada con muebles de calidad y un comedor integrado, perfecta para quienes disfrutan de cocinar y compartir momentos en familia o con amigos. - Se puede planificar un entrepiso, o agregar una división y convertirlo en 3 ambientes. - Baño de recepción: Práctico y funcional para visitas. - Baño completo en el dormitorio superior: Equipado con mampara y terminaciones modernas. - Piso completo de porcelanato. - Termotanque de alta recuperación de agua. - Gas natural, agua corriente y termotanque, garantizando comodidad y eficiencia. - El exterior del edificio y departamento se encuentra pintado en su totalidad para entregarlo como nuevo. - Dormitorio: Ubicado en la planta superior, cuenta con un vestidor y acceso a un baño completo. Desde el dormitorio, se disfruta de una increíble vista a la cocina y al balcón aterrazado, aportando un toque único y sofisticado al espacio. - Aire frío-calor que ambienta todos los espacios, asegurando confort durante todo el año. - Piso Flotante en el dormitorio, aportando calidez y estilo. Amenities ( sin costo alguno sum - laundry - terraza con parrilla) - Laundry: Espacio destinado para el lavado de ropa, facilitando las tareas del hogar. - sum (Salón de Usos Múltiples): Ideal para reuniones, eventos y actividades sociales. - Parrilla al aire libre en la terraza: Perfecta para disfrutar de asados y momentos al aire libre con amigos y familiares. Este excelente departamento estilo loft destaca por su increíble vista y luminosidad, a la venta a un precio inigualable. Diseñado para aquellos que buscan confort y modernidad en un mismo lugar, el departamento se encuentra en una ubicación privilegiada, cercana a la vibrante escena gastronómica de Monte Castro. Su diseño y distribución optimizados ofrecen un espacio de vida práctico y elegante, ideal para disfrutar del día a día en un entorno agradable y moderno. Zona comercial céntrica de Monte Castro, con muchas conexiones alrededor ( mas de 8 líneas de colectivos), a dos cuadras de av. Lope de Vega y av. Álvarez Jonte, . A 10 cuadras del Shopping de Devoto. Estado de propiedad: Muy bueno. Entrega la propiedad con la documentación en condiciones para la compraventa. Para visitar. Cherquetti propiedades bermudez 1865 tel. 4 5 6 7 4 3 8 7 Y rot. Whatsapp 1 1 3 1 0 7 9 1 7 9. De lunes A viernes de 11 A 18hs",,,,$,65,/propiedades/clasificado/veclapin-excelente-semipiso-de-2-ambientes-al-frente-tipo-loft-54075675.html,2,"Monte Castro, Capital Federal",65 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,27,,Lascano 5100
105000,1,120000,Contactar,A estrenar ya! Tercer piso al frente con terraza propia de 45m2. Super luminoso con vista a plaza. Horno y Anafe electrico. Agua caliente central. Edificio con sector de parrilla. Entrega inmediata.,,,,USD,80,/propiedades/clasificado/veclapin-a-estrenar-ya!-2-ambientes-terraza-ppia!-vista-a-plaza-54839890.html,2,"Floresta, Capital Federal",80 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,23,,Bogota 3799 3ro. A
1111,1,,Contactar,"Edificio finalizado el 12 de Febrero del 2025, completamente a estrenar. Edificio con orientación Norte. La unidad que se muestra es la modelo - 1ro B. Todas las unidades cuentan con: - Espacio para lavarropas / lavavajillas. - Vidrios dvh con carpintería aluar A40. - Dos Aires acondicionados lg ya instalados en Living y Dormitorio (equipo de refrigeración es Multisplit) - Se entrega con horno (nv7000B) y Anafe Samsung (ctr264) - Portero eléctrico. - Interiores de Placard. El edificio cuenta: - Con un local comercial gastronómico en planta baja. Teniendo ventilación cuatro vientos preinstalada para su utilización. El edificio no cuenta: - Con cocheras. Unidades Disponibles a la venta en el desarrollo: Primer Piso A. Primer Piso B. Segundo Piso A. Segundo Piso B. Tercer Piso A. Tercer Piso C. Cuarto Piso A. Cuarto Piso C. Quinto Piso B. Quinto Piso C. Sexto Piso B. Séptimo Piso B. por favor comunicarse por whatsapp O por mail.",,,,$,62,/propiedades/clasificado/veclappa-departamento-2-ambientes-caballito-sur-48637014.html,2,"Caballito, Capital Federal",62 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,5,,José A. Terry 301 esquina Valle 1268
120000,1,,Contactar,"Departamento 2 ambientes 3 ""D"" contra frente. La unidad cuenta con balcon. Terraza propia 23 mts2. Cochera cubierta fija. Las superficies cubiertas son aproximadamente de 42 mts2 por unidad y a esta superficie se suman los metros semi y descubiertos. Los detalles de construccion y las terminaciones utilizadas son de primera linea. Aire Frio calor colocado e instalado en todos los ambientes de la propiedad. Sanitarios de linea Fv. Porcelanatos y marmol a medida tanto en las cocinas como en los baños. apto A financiacion",,1,,USD,68,/propiedades/clasificado/veclapin-dpto-2-ambientes-a-estrenar-con-terraza-y-cochera-54028099.html,2,"Mataderos, Capital Federal",68 m² tot.2 amb.1 dorm.1 baño1 coch.,,1,WhatsApp,19,,Zelada 6449
110000,1,230000,Contactar,"Gran edificio emblamatico en zona del congreso, estilo frances, remodelado. Se trata de un departamento en venta de dos ambientes grande con techos altos Y mucho lujo. Tiene un living-comedor, cocina, habitacion en suit con un placard empotrado de piso A techo. Tiene un patio hermoso para disfrutar de las mañanas O las tardes soleadas, con posibilidad A cochera. - el edificio tiene vigilncia las 24 hs, ascensor Y terraza. Cuenta con cochera privada que se paga aparte. Es una excelente zona, ya que se encuentra en el corazon del centro de la ciudad de buenos aires, con muchisimos puntos emblematicos como lo son el congreso nacional, el cabildo, la casa rosada, museos, teatros como el colon Y muchos mas, cines, lugares para comer O tomar algo Y cercania A todas las lineas de subtes, tren sarmiento, gran cantidad de lineas de colectivo, avenidas muy concuridas como av rivadavia, av corrientes, av belgrano, av cordoba, entre otras. Posee todos los servicios de agua, luz Y gas. Todo al dia. expensas de $230. 000. no te lo pierdas Y reserva ya tu visita!! No Accesible para personas con movilidad reducida – Ley 5115, Art. 1 y 2 caba. Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente. Los impuestos y gastos expresados se refieren a la última información recabada y deberán confirmarse. Las fotografías no son vinculantes ni contractuales. Esta operación inmobiliaria se encuentra a cargo y es objeto de intermediación y conclusión por parte del Corredor Inmobiliario matriculado porta, carla sofia cucicba 9119.",,1,,USD,74,/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-54138729.html,2,"Congreso, Capital Federal",74 m² tot.2 amb.1 dorm.1 baño1 coch.,$,1,WhatsApp,19,,PARANA
107000,1,,Contactar,"Departamento de 2 ambientes con exclusivo patio de 83 m2. A estrenar. Living comedor amplio y dormitorio (ambos con salida al patio). Baño completo y cocina. Ubicado en Catamarca 1068. A dos cuadras de Av. San Juan y Av. Jujuy, medios de transporte y 2 lineas de subte. Edificio con sum, laundry y solarium. Apto profesional. Cocheras disponibles. Superficie aprox: ■ 42, 5 m2 cubiertos. ■ 83 m2 de patio/terraza. Entrega prevista: Diciembre 2024. Posee un avance de obra del 90% Agua caliente central. Ultimas unidades disponibles. ¡Coordinar visita! Vende. sd propiedades. mat 7828",,,,USD,125,/propiedades/clasificado/veclapin-2-ambientes-con-exclusivo-patio-para-inversion-o-55630558.html,2,"San Cristobal, Capital Federal",125 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,10,,Catamarca 1068
84000,1,65000,Contactar,"¡ 2 ambientes al frente! ¡ con patio único, todo luz! #Departamento | #Estándar | #2amb | #Patio | #Frente | #BoedoVirrey Liniers 800, Piso 2- Ciudad Autónoma de Buenos Aires· Características: ~ Departamento de dos (2) ambientes, dispuesto hacia el frente, con patio propio hacia el interior, en excelente ubicación del barrio de Boedo. ~ Orientación hacia el E (Este) con la calidez propia del sol de la mañana. Ventilación cruzada. Todos sus ambientes cuentan con ventanas/ventanales que iluminan hacia el exterior. ~ Disfruta de su amplio patio privado, perfecto para reuniones inolvidables con amigos y familiares, y momentos de ocio y confort en tu propio espacio. ~ Su disposición dentro del plano del edificio lo hace ideal puesto que no comparte vistas con unidades vecinas, brindando confidencialidad, tranquilidad y bienestar. ~ Segundo piso por escaleras. La unidad ha sido reciclada íntegramente e incorporando mínimos detalles, se encontraría lista para ser habitada. ~ A 37 metros de Avenida Independencia. A 237 metros de Avenida Boedo. A 363 metros de Avenida San Juan. A 737 metros de Avenida Jujuy. ~ Conectividad con medios de transporte. Múltiples colectivos y subte/metro Línea E · Estación Boedo. Cercanía a subida/bajada a Autopista (au) 25 de Mayo. ~ Su oferta comercial incluye actividades recreativas y culturales, locales gastronómicos, farmacias, paseos, instituciones médicas y educativas. · Edificio: ~ Entre medianeras, construido en el año 2004. Su fachada combina ladrillo visto con hormigón pintado en color blanco y cerámicas marmoladas color verde imperial. ~ Su planta baja se encuentra revestida en ladrillo visto. Su hall de ingreso posee pisos de porcelanato y paredes pintadas de blanco. Sus palieres semi-privados garantizan un habitar pacífico. ~ 3 pisos. 3 departamentos por cada piso. No cuenta con ascensor. Expensas comunes en valores estándar. Previsibles gastos de mantenimiento mensuales. · Distribución: ~ Hall de recepción (2. 00m x 1. 00m) . ~ Living comedor (5. 00m x 3. 00m) . ~ Patio interior (4. 20m x 3. 20m) . ~ Cocina (3. 50m x 2. 20m) . ~ Distribuidor (1. 05m x 2. 20m) . ~ Baño completo con bañera (2. 00m x 1. 60m) . ~ Dormitorio (3. 50m x 2. 85m) . · Equipamiento: ~ Paredes pintadas en tonalidades claras conservan su natural luminosidad. Pisos revestidos en cerámicas símil madera en hall de recepción, living comedor y dormitorio. ~ Su cocina posee pisos revestidos en cerámicas anaranjadas y paredes revestidas en cerámicas blancas. Cuenta con termotanque a gas instalado en su patio interior. ~ Mobiliario de cocina (alacena/bajo mesada) de melamina / mdf color blanco. Bacha doble de acero inoxidable. Mesada de cocina de granito modelo rosa de salto. ~ Baño con pisos revestidos en cerámicas color terracota imperial y paredes combinadas con guarda y cerámicas gris. Cuenta con vanitory, artefactos completos y bañera. ~ Cuenta con placares empotrados con divisores, estantes, barrales, cajoneras y demás interiores a medida en distribuidor. Aire acondicionado split F/C en su dormitorio único. ~ Calefacción individual a través de estufas. Conexión para carga y descarga de lavarropas. Espacio de tendido en patio. Aberturas línea módena de aluminio color blanco instaladas. · Superficies: ~ 48. 18M2: Superficie cubierta~ 12. 28M2: Superficie descubierta~ 60. 46M2: Superficie total#Nota: El edificio no cuenta con accesibilidad para personas con movilidad reducida (Ley 5115) . Las imágenes en este anuncio publicadas son meramente ilustrativas y no poseen carácter contractual. El importe de expensas anunciado ha sido extraído de su última facturación, es orientativo, no vinculante y está sujeto a modificaciones y/o variaciones sin previa publicidad. Las medidas expresadas en el presente aviso son aproximadas y a título informativo. Las medidas originales surgirán de los respectivos planos y/o escritura del inmueble. Somos especialistas en operaciones simultáneas. Tasamos en los 48 barrios de la Ciudad de Buenos Aires: . ar/tasaciones/spinelli propiedadeswww. spinelliprop. com. ar#Visitas por WhatsApp al +54 9 11 Ver datos#Reservas al Ver datos Ver datos#Consultas a Ver datos#Oficina en Avenida San Juan 3467 - cabadesde 1921 - #OportunidadesGrandesComoUnaCasa",,,,USD,60,/propiedades/clasificado/veclapin-venta-2-ambientes-60-m-sup2--patio-unico-frente-54420270.html,2,"San Cristobal, Capital Federal",60 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,38,,Virrey Liniers al 800
115000,1,80000,Contactar,"Departamento de 2 ambientes en pb al frente, muy amplio. Excelente ubicación, a 2 cuadras del subte linea D y a metros de Av. Rivadavia y Av. J. B. Alberdi. Living y dormitorio muy amplios, hall de distribucion ( posible escritorio), 2 balcones, baño completo y cocina con espacio para desayunador.",,,,USD,84,/propiedades/clasificado/veclapin-ramon-falcon-1400-2-ambientes-muy-amplio-con-54377229.html,2,"Caballito, Capital Federal",84 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,23,,Ramon Falcon 1300
118000,1,180000,Contactar,"Excelente depto de 2 ambientes con cochera fija, portón automático, al contrafrente con un gran balcón aterrazado tipo terraza, muy luminoso, edificio nuevo, detalles de categoría, 2 equipos split frío calor, cocina, placard Y bajo mesada. Apto profesional. Gran cantidad de medios de locomoción A 1 cuadra del subte. Zona facultades uade, uai. Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos del inmueble.",,1,,USD,60,/propiedades/clasificado/veclapin-humberto-i-al-800-depto-de-2-amb-con-cohera-cubierta-48943144.html,2,"San Telmo, Capital Federal",60 m² tot.2 amb.1 dorm.1 baño1 coch.,$,1,WhatsApp,15,,HUMBERTO 1°  800
92000,1,6000,Contactar,"Ph ubicado en la calle Gavilán 2050 pb D, del barrio de Villa Gral. Mitre, entre camarones y San Blas, Ciudad Autónoma de Buenos Aires. Colectivos cercanos: 24, 47, 63, 109, 110, 113, 133, 135Superficie total: 72, 30m²Características y descripción: Departamento desarrollado en ph con entrada por pasillo. Acceso a Living con cocina semi integrada. Living de 2 x 3 con ventana hacia exterior, pisos de parquet, cocina de 2x2 semi integrada, comedor de 2, 8 x 6 con amplio ventanal hacia jardín. Dormitorio de 3x3, pisos de parquet, Baño completo con plato de ducha. Agua caliente: termotanqueEstado propiedad: BuenoLuminosidad: BuenaOrientación: NoresteDisposición: ContrafrenteExpensas actuales: $6. 000abl anual: cucicba 3861 | cmcpsi 6634ley 5115 no Accesible a personas con capacidad reducida. ley 5859 – art. 5“Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos que sean personas físicas. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato”ley 5115 Accesible a personas con capacidad reducida. Cucicba 3861ley 5859 – art. 5“Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos que sean personas físicas. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato”Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en el respectivo título de propiedad de cada inmueble. Todas las fotos, imagenes y videos son meramente ilustrativos y no contractuales. Los precios enunciados son meramente orientativos y no contractuales. .",,,,USD,72,/propiedades/clasificado/veclapin-ph-en-paternal-muy-luminoso-54235583.html,2,"Villa General Mitre, Capital Federal",72 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,18,,Gavilán al 2000
120000,1,150000,Contactar,"Duplex de dos ambientes con amenities sobre avenida Montes de Oca, con vista panoramica en excelente estado. Dos bauleras.",,,,USD,66,/propiedades/clasificado/veclapin-departamento-en-barracas-53596516.html,2,"Barracas, Capital Federal",66 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,28,,Av. Montes de Oca  al 100
115000,1,,Contactar,"Thames own Residences - En Venta - Edificio en Construcción - Entrega Septiembre 2025. Se venden departamentos de 1, 2 y 3 ambientes de gran categoría desarrollados por el Estudio msk con mas de 20 años de trayectoria diseñando y ejecutando edificios en la Ciudad Autónoma de Buenos Aires. Posibilidad de financiación en cuotas. Ubicación. Ubicado en la calle Thames, entre Padilla y Camargo. A 100 metros de Av Corrientes. A 100 metros de Av Juan B Justo (Metrobus) Proximo al Movistar Arena. características. Edificio de pb y 10 Pisos. Cuenta con 25 uf. 1 Ambientes - Al Frente y Contrafrente. Cuentan con superficie de 38 m2 y 40 m2. 2 Ambientes - Al Frente. Cuentan con superficie de 59 m2. 1 uf de 3 ambientes - Al Frente. Cuenta con superficie de 109 m2 con Patio/Solarium. amenities. Rooftop en ultimo piso con Parrillas totalmente equipadas con baños, Solarium con reposeras y Lounge con sillones con una vista abierta a todas la ciudad. especificaciones. Hall de acceso iluminado con detalles de diseño. Cerramiento con carpintería y puerta en vidrio templado. Ascensores marca Schindler: Interiores de Cabinas y Frentes de ascensores en. acero inoxidable. Puertas automáticas. Instalación sanitaria de primera calidad. Agua caliente, servicio central. presurizado. Descripción de las unidades: ○ Mampostería tradicional con terminación en yeso de primera calidad. ○ Cielorrasos en hormigón visto. ○ Solados de Porcelanato de primera calidad. ○ Aberturas de aluminio corredizas o de empuje A30 de piso a techo o similar, con. vidrios de seguridad. ○ Puertas forradas en pvc. Cocinas: ○ Revestimientos porcelanatos de primera calidad. ○ Mueble bajo mesada y alacena de melamina completo de diseño moderno. ○ Mesadas de mármol y bacha de acero inoxidable. ○ Cocina y anafe marca “Domec”o similar de acero inoxidable. ○ Grifería sobre mesada cromada del tipo monocomando. O Iluminación led. Dormitorios: ○ Piso porcelanato de primera calidad. ○ Frentes de placard de melamina y aluminio de piso a techo. Baños: ○ Baños revestidos en porcelanatos de primera calidad. ○ Cielorrasos no aplicados y armados de yeso. ○ Artefactos sanitarios de primera calidad. O Mesadas de mármol. O Bachas de diseño. o Grifería tipo tubo para lavatorio, ducha y bidet monocomando. O Iluminación led. O Accesorios completos. o Mesadas de mármol. O Bachas de diseño. Instalaciones: ○ Instalación de tv completa. ○ Instalación telefónica en todos los ambientes principales. ○ Preinstalación para aire acondicionado frio calor. ○ Instalación para lavarropas en balcones. ○ Parrillas eléctricas marca “Tromen” o similar en cada balcón individual. Atte, Consfort Inmobiliaria. Encontrá lo que estás buscando en Consfort Inmobiliaria, una empresa al servicio inmobiliario con más 40 años de trayectoria en el rubro.",,,,USD,60,/propiedades/clasificado/veclapin-departamento-2-ambientes-thames-378-sup-60-52746108.html,2,"Villa Crespo, Capital Federal",60 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,22,,Thames 378
90000,1,173000,Contactar,"Reservado // Venta de Departamento 2 Ambientes con Dependencia de Servicio en el Barrio de Retiro! Departamento ubicado en Av. Córdoba entre San Martín y Reconquista. Apto credito! ! 60 m2 distribuidos en 2 Ambientes con Dependencia. Doble altura de techos. Con muy buena luminosidad! La unidad posee una orientación Norte, y consta de un hall de entrada, living comedor, distribuidor con placard incorporado hacia baño completo con bañera, dormitorio con placard incorporado con vista al amplio y luminoso pulmón del edificio de aproximadamente 7 metros de ancho, pasillo, cocina en L, dependencia o comedor diario con ventana, baño de servicio y lavadero. La altura de sus techos es de 3. 30 metros y posee pisos de parquet y cerámica. Tanto el estado de la unidad como el del edificio es muy bueno, y así también su luminosidad. El edificio posee una gran recepción en la entrada del mismo, cuenta con cámaras de seguridad, encargado con vivienda de lunes a viernes, y suplente de sábados a domingo. Edifico de categoría de estilo racionalista-modernista-clásico del renombrado arquitecto Argentino Héctor Ayerza. Década del 40'. Elegante hall principal. Doble ascensor enfrentados. A 40 metros del shopping center ""galerias pacifico"" superficies: - Cubierta / Total: 60 m2. ambientes: - Hall de entrada: 2. 24x 1. 11. - Living comedor 3. 44 x 6. 36. - Pasillo 1. 10 x 1. 47. - Cocina en L: 2. 06 x 1. 59 + 2. 15x 1. 03. - Dependencia o comedor diario: 1. 95 x 2. 80. - Baño de servicio/ Lavadero 1. 92 x 1. 30. - Distribuidor: 1. 63 x 0. 89. - Dormitorio: 3. 36 x 3. 32 + 0. 89 x 0. 66 + Placard 2. 31 x 0. 66. - Baño completo 2. 17 x 1. 57. - Hall Recepción 21x 4xintel(gpc-gpc-767)",,,,USD,60,/propiedades/clasificado/veclapin--propiedad-reservada-reservado-departamento-2-amb-55325349.html,2,"Retiro, Capital Federal",60 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,27,,Avenida Cordoba 400. Entre Avenida san martín y Reconquista
119000,1,,Contactar,"En construccion. Entrega marzo 2027. excelente edificio doble frente. excelente 2 ambientes living comedor, dormitorio en suite, toilette, cocina incorporada, amenities. Detalles de categoria, materiales de primer nivel, ventanas de techo A piso sin vigas Y columnas A la vista. Excelente ubicacion A metros de estado de israel, av. Corrientes, scalabrini ortiz. Polo gastronomico Y comercial. Todos los medios de comunicacion, subte B. En la mejor zona de villa crespo. Consultas carlos Ver datos",,,,USD,65,/propiedades/clasificado/veclapin-excelente-2-ambientes-en-construccion-53269025.html,2,"Villa Crespo, Capital Federal",65 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,10,,LOYOLA 100
118000,1,89000,Contactar,"Venta departamento 2 ambientes en villa crespo – amplio, moderno Y con patio propio? ¿Buscás un espacio con estilo, comodidad y en una ubicación inmejorable? Este 2 ambientes reciclado a nuevo en planta baja es ideal para vos. apto credito? 60 m² totales con gran salón-comedor y cocina integrada. ?Dormitorio amplio, baño con antebaño. ? Hermoso patio con lavadero y parrilla para disfrutar al aire libre. ? Ubicación estratégica en Villa Crespo, rodeado de bares, restaurantes y outlets . ? Conectividad perfecta: a pasos de Av. Corrientes y Subte B. ¡Mudate a una zona vibrante con todo lo que necesitas! Contactanos para más información o coordinar una visita",,,,USD,67,/propiedades/clasificado/veclapin-departamento-villa-crespo-55615281.html,2,"Villa Crespo, Capital Federal",67 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,25,,Thames al 600
Consultar precio,1,,Contactar,"El 2 ambientes más lindo de Madero Center, totalmente reciclado con detalles de mucha categoría. Ascensor con accionamiento por código. Ingresamos a un palier privado con puerta vidriada y nos recibe un gran living comedor con balcón corrido y vista al dique. Amplia cocina con lavadero y puerta de servicio. Toilette y placard de recepción. Gran dormitorio en suite con balcón, vestidor cerrado con puerta y clave de ingreso. Mesadas y piso de mármol en cocina. Losa radiante por caldera individual, aire acondicionado independiente por ambiente. Una cochera y una baulera. Piso de los últimos en Torre Macacha. Amenities: - Bar - Microcine para 30 personas - Sala de juego para niños - Sala de juegos para jóvenes (pool, metegol y ping pong) - sum para 300 personas. - Gimnasio - Sala de spinning - Sala de baile - Piscina semiolímpica cubierta y descubierta climatizadas - Piscina lúdica - Sauna húmedo y sauna seco - Sala de masajes - Solárium - Beauty Center (sala de peluquería y manicuría) - Jardín - Laundry - Lavadero de autos - Cocheras de cortesía madero center: Madero Center es un complejo de edificios de oficinas y residenciales que se encuentra en Juana Manso 555 del barrio de Puerto Madero, Buenos Aires. Fue terminado en 2008. Se trata de un complejo de cuatro edificios que ocupan una manzana entera, dejando un amplio patio interior. Madero Center tiene tres edificios residenciales (con departamentos que van desde los 105 a 690 metros cuadrados) y uno de oficinas: el que mira a la Avenida Juana Manso. En el centro de la manzana se encuentra un lugar destinado a los amenities y servicios, que son de primera calidad. En la planta baja, sobre las calles Pierina Dealessi, Trinidad Guevara y Macacha Güemes, posee locales comerciales. El estilo de las construcciones es contemporáneo y sobrio; el bloque de oficinas posee fachadas totalmente vidriadas con unas losas irregulares que sobresalen en diagonal a modo de parasoles horizontales; y los bloques residenciales intercalan planos vidriados y ciegos con ventanas cuadradas y balcones corridos.",,1,,,135,/propiedades/clasificado/veclapin-venta-espectacular-departamento-de-2-ambientes-en-52615271.html,2,"Puerto Madero, Capital Federal",135 m² tot.2 amb.1 dorm.1 baño1 coch.,,1,WhatsApp,31,,Machaca Guemes 330
118000,1,85000,Contactar,"2 ambientes con dependecia de servicio, super luminoso",,,,USD,68,/propiedades/clasificado/veclapin-departamento-san-telmo-52030850.html,2,"San Telmo, Capital Federal",68 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,11,,Defensa al 1700
120000,1,,Contactar,"Emprendimiento proximo A estrenar en Venezuela 1851, Monserrat Departamento de 2 ambientes al contrafrente de 71. 10 m2. La unidad cuenta con living comedor integrados a la cocina con salida a patio interno de 8 m2. Baño completo. Un dormitorio. &amp;nbsp;En el último piso se encuentra el sum con una terraza de 30 m2. Sustentabilidad + tecnologia - Recolección de agua de lluvia. - Circulaciones comunes ventiladas. - Carpinterías con dvh. - Sistema de agua caliente individual. - Iluminación de áreas comunes bajo consumo. - Utilización de sistemas de calefacción eléctricos. - Utilización de productos sustentables. La propiedad publicada está sujeta a la tramitación del Código de oferta de transferencia de inmuebles (coti) según la Resolución de afip 2371, así como a cualquier otro trámite requerido por ley. Toda la información y medidas son aproximadas y están sujetas a verificación con la documentación correspondiente. Sujeto a disponibilidad. Ezequiel Solimano Dal Pos: Matricula caba N° 9011 / Matricula cmcpsi 6289.",,,,USD,71,/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-en-monserrat-53972124.html,2,"Monserrat, Capital Federal",71 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,13,,Venezuela 1851
